Source Well,Destination Well,Transfer Volume,,transfer volume
A1,B1,1011,,1000
A2,B2,947,,950
A3,B3,1906,,1900
A4,B4,1356,,1350
A5,B5,2442,,2450
A6,B6,1855,,1850
A7,B7,1624,,1625
A8,B8,2673,,2675
A9,B9,1759,,1750
A10,B10,1962,,1950
A11,B11,1336,,1325
A12,B12,1656,,1650
A13,B13,1601,,1600
A14,B14,2760,,2750
A15,B15,1271,,1275
A16,B16,1855,,1850
A17,B17,4620,,4625
A18,B18,4163,,4175
A19,B19,3094,,3100
A20,B20,3946,,3950
A21,B21,7041,,7050
A22,B22,5487,,5475
A23,B23,5526,,5525
A24,B24,4419,,4425
B1,D1,6923,,6925
B2,D2,3949,,3950
B3,D3,7703,,7700
B4,D4,4485,,4475
B5,D5,3221,,3225
B6,D6,7087,,7075
C1,B1,9000,,9000
D8,B1,1989,,2000
C2,B2,9000,,9000
D9,B2,2053,,2050
C3,B3,9000,,9000
D10,B3,1094,,1100
C4,B4,9000,,9000
D11,B4,1644,,1650
C5,B5,9000,,9000
D12,B5,558,,550
C6,B6,9000,,9000
D13,B6,1145,,1150
C7,B7,9000,,9000
D14,B7,1376,,1375
C8,B8,9000,,9000
D15,B8,327,,325
C9,B9,9000,,9000
D16,B9,1241,,1250
C10,B10,9000,,9000
D17,B10,1038,,1050
C11,B11,9000,,9000
D18,B11,1664,,1675
C12,B12,9000,,9000
D19,B12,1344,,1350
C13,B13,9000,,9000
D20,B13,1399,,1400
C14,B14,9000,,9000
D21,B14,240,,250
C15,B15,9000,,9000
D22,B15,1729,,1725
C16,B16,9000,,9000
D23,B16,1145,,1150
C17,B17,7380,,7375
C18,B18,7837,,7825
C19,B19,8906,,8900
C20,B20,8054,,8050
C21,B21,4959,,4950
C22,B22,6513,,6525
C23,B23,6474,,6475
C24,B24,7581,,7575
D1,D1,5077,,5075
D2,D2,8051,,8050
D3,D3,4297,,4300
D4,D4,7515,,7525
D5,D5,8779,,8775
D6,D6,4913,,4925
